date,state,fips,cases,deaths
2021-03-31,Alabama,01,515388,10554
2021-03-31,Alaska,02,62559,299
2021-03-31,Arizona,04,841811,16967
2021-03-31,Arkansas,05,330398,5626
2021-03-31,California,06,3668917,59233
2021-03-31,Colorado,08,464782,6175
2021-03-31,Connecticut,09,310888,7886
2021-03-31,Delaware,10,94802,1559
2021-03-31,District of Columbia,11,44513,1064
2021-03-31,Florida,12,2057727,33424
2021-03-31,Georgia,13,1035186,18473
2021-03-31,Guam,66,8776,135
2021-03-31,Hawaii,15,29779,460
2021-03-31,Idaho,16,180643,1965
2021-03-31,Illinois,17,1248133,23579
2021-03-31,Indiana,18,689785,13039
2021-03-31,Iowa,19,351402,5743
2021-03-31,Kansas,20,304657,4913
2021-03-31,Kentucky,21,430116,6151
2021-03-31,Louisiana,22,444933,10141
2021-03-31,Maine,23,50504,743
2021-03-31,Maryland,24,411529,8286
2021-03-31,Massachusetts,25,635580,17185
2021-03-31,Michigan,26,745944,17112
2021-03-31,Minnesota,27,519607,6926
2021-03-31,Mississippi,28,305146,7032
2021-03-31,Missouri,29,585211,8977
2021-03-31,Montana,30,104677,1437
2021-03-31,Nebraska,31,209912,2284
2021-03-31,Nevada,32,303811,5249
2021-03-31,New Hampshire,33,84176,1238
2021-03-31,New Jersey,34,908812,24528
2021-03-31,New Mexico,35,191652,3939
2021-03-31,New York,36,1871595,49790
2021-03-31,North Carolina,37,919817,12137
2021-03-31,North Dakota,38,103123,1498
2021-03-31,Northern Mariana Islands,69,159,2
2021-03-31,Ohio,39,1017566,18609
2021-03-31,Oklahoma,40,438364,4953
2021-03-31,Oregon,41,165013,2396
2021-03-31,Pennsylvania,42,1030415,25150
2021-03-31,Puerto Rico,72,141085,2118
2021-03-31,Rhode Island,44,137329,2619
2021-03-31,South Carolina,45,551630,9146
2021-03-31,South Dakota,46,117759,1935
2021-03-31,Tennessee,47,797531,11798
2021-03-31,Texas,48,2794062,48537
2021-03-31,Utah,49,385700,2122
2021-03-31,Vermont,50,19275,227
2021-03-31,Virgin Islands,78,2907,26
2021-03-31,Virginia,51,618976,10252
2021-03-31,Washington,53,366907,5309
2021-03-31,West Virginia,54,141738,2676
2021-03-31,Wisconsin,55,636250,7316
2021-03-31,Wyoming,56,56310,700
